구분,과목코드,분반,과목명,시수,부문,강의실
기초교양,12200005,3,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"월5,6(율곡관(기숙사)식당동 101)"
기초교양,12200005,4,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"월1,2(율곡관(기숙사)식당동 102)"
기초교양,12200005,5,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"월3,4(율곡관(기숙사)식당동 102)"
기초교양,12200005,6,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"월5,6(율곡관(기숙사)식당동 102)"
기초교양,12200005,7,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"월8,9(율곡관(기숙사)식당동 101)"
기초교양,12200005,8,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(율곡관(기숙사)식당동 001)"
기초교양,12200005,9,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수3,4(율곡관(기숙사)식당동 001)"
기초교양,12200005,10,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수4,5(율곡관(기숙사)식당동 004)"
기초교양,12200005,11,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수6,7(율곡관(기숙사)식당동 004)"
기초교양,12200005,12,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수8,9(율곡관(기숙사)식당동 004)"
기초교양,12200005,13,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(율곡관(기숙사)식당동 101)"
기초교양,12200005,14,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수3,4(율곡관(기숙사)식당동 101)"
기초교양,12200005,15,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수6,7(율곡관(기숙사)식당동 101)"
기초교양,12200005,16,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"수8,9(율곡관(기숙사)식당동 101)"
기초교양,12200005,17,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"금1,2(율곡관(기숙사)식당동 108)"
기초교양,12200005,18,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"금3,4(율곡관(기숙사)식당동 108)"
기초교양,12200005,19,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"금5,6(율곡관(기숙사)식당동 108)"
기초교양,12200005,20,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"금5,6(인1호관 407)"
기초교양,12200005,21,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"금5,6(인1호관 408)"
기초교양,12200006,1,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월1,2(율곡관(기숙사)식당동 108)"
기초교양,12200006,2,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월3,4(율곡관(기숙사)식당동 108)"
기초교양,12200006,3,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월5,6(율곡관(기숙사)식당동 108)"
기초교양,12200006,4,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월1,2(율곡관(기숙사)식당동 103)"
